;;;;;PRODUTO;EAN;CÓDIGO;PREÇO RECOMENDADO
CAT CAN;WHI CAN 0,29 KG;ATUM;Nacional;10277808;WHISKAS LATA ATUM 24X290G RE23;7,90E+12;97283;15,39
CAT CAN;WHI CAN 0,29 KG;PEIXE;Nacional;10277809;WHISKAS LATA PEIXE 24X290G RE23;7,90E+12;97288;15,39
CAT CAN;WHI CAN 0,29 KG;CARNE;Nacional;10277811;WHISKAS LATA CARNE 24X290G RE23;7,90E+12;97285;15,39
CAT CAN;WHI CAN 0,29 KG;FRANGO;Nacional;10277813;WHISKAS LATA FRANGO 24X290G RE23;7,90E+12;97287;15,39
CAT DRY;KITEKAT DRY 0,9 KG CORE;MIX DE CARNES;Nacional;10238739;KITEKAT DRY AD MIX DE CARNES 10X900G;7,90E+12;98679;11,9
CAT DRY;KITEKAT DRY 20 KG CORE;MIX DE CARNES;Nacional;10238736;KITEKAT DRY AD MIX DE CARNES 20KG;7,90E+12;97343;329,99
CAT DRY;OPT CAT DRY 1 KG CORE;ADULTOS FRANGO;Nacional;10401113;OPT DRY CAT AD FRANGO 10X1KG RE24;7,90E+12;97831;31,59
CAT DRY;OPT CAT DRY 1 KG CORE;CASTRADOS CARNE;Nacional;10401118;OPT DRY CAT AD CAST CARNE 10X1KG RE24;7,90E+12;97825;31,59
CAT DRY;OPT CAT DRY 1 KG CORE;ADULTOS CARNE;Nacional;10401119;OPT DRY CAT AD CARNE 10X1KG RE24;7,90E+12;97823;31,59
CAT DRY;OPT CAT DRY 1 KG CORE;CASTRADOS FRANGO;Nacional;10401123;OPT DRY CAT AD CAST FRANGO 10X1KG RE24;7,90E+12;97828;31,59
CAT DRY;OPT CAT DRY 10,1 KG CORE;ADULTOS FRANGO;Nacional;10401156;OPT DRY CAT AD FRANGO 1X10,1KG RE24;7,90E+12;97832;189,9
CAT DRY;OPT CAT DRY 10,1 KG CORE;CASTRADOS FRANGO;Nacional;10401157;OPT DRY CAT AD CAST FRANGO 1X10,1KG RE24;7,90E+12;97829;189,9
CAT DRY;OPT CAT DRY 3 KG CORE;ADULTOS FRANGO;Nacional;10401109;OPT DRY CAT AD FRANGO 6X3KG RE24;7,90E+12;97833;76,9
CAT DRY;OPT CAT DRY 3 KG CORE;FILHOTES FRANGO;Nacional;10401111;OPT DRY CAT FIL FRANGO 6X3KG RE24;7,90E+12;97835;76,9
CAT DRY;OPT CAT DRY 3 KG CORE;CASTRADOS FRANGO;Nacional;10401114;OPT DRY CAT AD CAST FRANGO 6X3KG RE24;7,90E+12;97830;76,9
CAT DRY;OPT CAT DRY 3 KG CORE;ADULTOS CARNE;Nacional;10401120;OPT DRY CAT AD CARNE 6X3KG RE24;7,90E+12;97824;76,9
CAT DRY;WHI DRY 0,9 KG CORE;CARNE;Nacional;10254501;WHI DRY GATO CAST CARNE 10X900G 2022;7,90E+12;98902;21,9
CAT DRY;WHI DRY 0,9 KG CORE;PEIXE;Nacional;10254514;WHI DRY GATOS CAST PEIXE 10X900G 2022;7,90E+12;98946;21,9
CAT DRY;WHI DRY 10,1 KG CORE;PEIXE;Nacional;10254518;WHI DRY GATOS CAST PEIXE 1X10,1KG 2022;7,90E+12;98947;213,74
CAT DRY;WHI DRY 10,1 KG CORE;CARNE;Nacional;10254520;WHI DRY GATO CAST CARNE 1X10,1KG 2022;7,90E+12;98904;213,74
CAT DRY;WHI DRY 2,7 KG CORE;CARNE;Nacional;10254470;WHI DRY GATO CAST CARNE 6X2,7KG 2022;7,90E+12;98901;59,9
CAT DRY;WHI DRY 2,7 KG CORE;PEIXE;Nacional;10254516;WHI DRY GATOS CAST PEIXE 6X2,7KG 2022;7,90E+12;98948;59,9
CAT DRY;WHI DRY 0,5 KG CORE;FILHOTES;Nacional;10254521;WHI DRY FILHOTE CARNE 20X500G 2022;7,90E+12;98944;15,9
CAT DRY;WHI DRY 0,5 KG CORE;PEIXE;Nacional;10254532;WHI DRY AD PEIXE 20X500G 2022;7,90E+12;98937;15,9
CAT DRY;WHI DRY 0,5 KG CORE;CARNE;Nacional;10254546;WHI DRY AD CARNE 20X500G 2022;7,90E+12;98899;15,9
CAT DRY;WHI DRY 0,9 KG CORE;CARNE;Nacional;10254483;WHI DRY AD CARNE 10X900G 2022;7,90E+12;98898;21,9
CAT DRY;WHI DRY 0,9 KG CORE;FRANGO;Nacional;10254487;WHI DRY AD FRANGO 900G 2022;7,90E+12;98936;21,9
CAT DRY;WHI DRY 0,9 KG CORE;AD PEIXE;Nacional;10254487;WHI DRY AD PEIXE 10X900G 2022;7,90E+12;98936;21,9
CAT DRY;WHI DRY 0,9 KG CORE;FILHOTE CARNE;Nacional;10254497;WHI DRY FILHOTE CARNE 10X900G 2022;7,90E+12;98942;21,9
CAT DRY;WHI DRY 10,1 KG CORE;FILHOTES;Nacional;10254531;WHI DRY FILHOTE CARNE 1X10,1KG 2022;7,90E+12;98945;213,74
CAT DRY;WHI DRY 10,1 KG CORE;PEIXE;Nacional;10254543;WHI DRY AD PEIXE 1X10,1KG 2022;7,90E+12;98938;213,74
CAT DRY;WHI DRY 10,1 KG CORE;MIX DE CARNE;Nacional;10254544;WHI DRY AD MIX DE CARNES 1X10,1KG 2022;7,90E+12;98906;213,74
CAT DRY;WHI DRY 10,1 KG CORE;FRANGO;Nacional;10254545;WHI DRY AD FRANGO 1X10,1KG 2022;7,90E+12;98940;213,74
CAT DRY;WHI DRY 10,1 KG CORE;CARNE;Nacional;10254547;WHI DRY AD CARNE 1X10,1KG 2022;7,90E+12;98900;213,74
